ID value,Status,Price (£)
29905334,still active,"9,495"
29905338,still active,"4,490"
29905348,inactive on: 10/09/2023,"18,995"
29905390,still active,"21,990"
29905397,inactive on: 10/09/2023,"12,990"
29905414,still active,"14,900"
29905418,inactive on: 10/09/2023,"7,999"
29905420,still active,"24,999"
29905423,still active,"14,494"
29905467,still active,"11,395"
29905474,inactive on: 10/09/2023,"13,295"
29905515,still active,"12,495"
29905519,still active,"10,880"
29905531,still active,"17,680"
29905532,still active,"20,000"
29905565,still active,"18,995"
29905586,still active,"12,700"
29905609,still active,"23,995"
29905794,still active,"13,950"
29906134,still active,"28,990"
29906291,inactive on: 10/09/2023,"21,986"
29906353,still active,"31,123"
29906357,still active,"8,750"
29906390,still active,"96,835"
29906396,still active,"62,495"
29906399,inactive on: 10/09/2023,"55,455"
29906401,still active,"43,495"
29906418,still active,"21,350"
29906486,inactive on: 10/09/2023,"19,329"
29906518,inactive on: 04/09/2023,"11,989"
29906528,inactive on: 10/09/2023,"48,799"
29906571,inactive on: 04/09/2023,"23,500"
29906605,still active,"17,995"
29906856,inactive on: 04/09/2023,"20,500"
29906881,still active,"11,500"
29907095,inactive on: 13/09/2023,"24,495"
29907099,inactive on: 18/09/2023,"13,495"
29907105,still active,"17,995"
29907291,inactive on: 04/09/2023,"13,995"
29907294,still active,"9,500"
29907317,inactive on: 04/09/2023,"15,999"
29907318,still active,"5,999"
29907319,still active,"11,499"
29907324,inactive on: 13/09/2023,"5,995"
29907325,inactive on: 10/09/2023,"4,695"
29907330,still active,"30,990"
29907337,still active,"42,995"
29907358,still active,"11,995"
29907380,still active,"29,995"
29907517,still active,"51,990"
29907529,still active,"13,750"
29907540,still active,"31,420"
29907546,still active,"42,920"
29907584,inactive on: 04/09/2023,"17,950"
29907589,still active,"27,950"
29907612,inactive on: 10/09/2023,"32,450"
29907620,inactive on: 10/09/2023,"34,400"
29907680,still active,"22,834"
29907715,still active,"49,495"
29907765,still active,"8,995"
29907965,still active,"2,490"
29907972,inactive on: 04/09/2023,"7,950"
29907994,inactive on: 18/09/2023,"6,285"
29907995,still active,"4,600"
29908009,still active,"4,299"
29908010,still active,"3,799"
29908051,still active,"4,990"
29908059,still active,"23,990"
29908070,still active,"17,495"
29908095,still active,"15,650"
29908097,still active,"13,495"
29908099,still active,"5,695"
29908100,still active,"9,495"
29908109,still active,"7,495"
29908138,still active,"9,995"
29908151,still active,"5,750"
29908156,still active,"5,975"
29908161,still active,"9,995"
29908168,still active,"44,995"
29908169,still active,"3,100"
29908183,still active,"12,995"
29908185,inactive on: 10/09/2023,"4,995"
29908195,still active,"13,850"
29908200,still active,"3,995"
29908213,still active,"14,495"
29908230,still active,"15,900"
29908235,still active,"23,995"
29908243,still active,"5,790"
29908269,still active,"15,495"
29908293,inactive on: 10/09/2023,"7,495"
29908294,still active,"25,495"
29908306,inactive on: 10/09/2023,"32,700"
29908309,inactive on: 10/09/2023,"12,995"
29908316,still active,"30,995"
29908317,still active,"13,495"
29908318,still active,"17,495"
29908319,still active,"22,495"
29908351,inactive on: 04/09/2023,"9,195"
29908383,still active,"9,500"
29908413,still active,"3,695"
29908426,still active,"16,795"
29908446,still active,"7,750"
29908448,still active,"34,995"
29908458,still active,"5,500"
29908493,inactive on: 18/09/2023,795
29908549,still active,"16,295"
29908553,still active,"12,945"
29908626,still active,"14,985"
29908632,still active,"11,995"
29908641,still active,"14,795"
29908675,inactive on: 18/09/2023,"8,895"
29908692,still active,"16,995"
29908697,still active,"6,990"
29908717,still active,"6,485"
29908721,still active,"99,995"
