advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29928155,1,11,2019,1.995,84688,2,2,BLACK,2,50.4,3,5,5,148,128,9.2,132,565,17499,
29928162,24,62,2017,1.197,49796,1,2,BLUE,2,53.3,2,5,5,120,124,9.0,118,528,10299,
29928170,20,67,2013,1.242,57893,1,2,WHITE,2,58.9,2,3,4,69,99,12.9,113,453,5999,
29928174,1,22,2016,1.499,94477,1,2,WHITE,2,53.3,1,5,5,134,130,8.5,123,610,9299,inactive on: 10/09/2023
29928175,1,163,2016,1.995,81212,2,3,WHITE,1,62.8,1,4,5,190,145,7.7,119,967,13999,
29928188,10,273,2014,1.364,25000,1,2,GREY,2,47.9,2,3,5,118,119,10.2,139,590,7095,
29928204,22,73,2012,1.56,80000,2,3,BLACK,9,55.4,2,5,7,112,114,12.6,132,731,5500,
29928237,41,276,2019,3.996,59100,1,3,BLUE,6,22.2,3,5,5,650,190,3.6,325,415,178995,inactive on: 10/09/2023
29928239,1,163,2018,2.993,38672,2,3,BLACK,1,60.1,1,4,5,261,155,5.7,124,873,25495,
29928240,1,214,2015,1.995,83000,2,3,SILVER,6,54.3,3,5,5,190,130,8.1,136,800,13995,
29928242,1,22,2014,1.598,67500,2,2,WHITE,2,65.7,1,3,5,95,115,12.2,112,752,7995,
29928243,11,114,2019,1.984,60000,1,3,BLACK,2,34.5,3,5,5,296,155,4.7,158,417,29394,
29928249,11,13,2019,1.984,23656,1,3,BLACK,2,39.8,2,5,4,148,139,9.1,135,473,32394,
29928252,1,77,2019,2.993,38665,2,3,BLACK,6,33.6,3,5,5,395,155,5.2,179,591,51495,
29928253,5,277,2020,2.967,32291,2,3,WHITE,8,28.3,3,4,5,254,129,7.4,231,498,45995,
29928268,8,8,2019,1.461,41734,2,3,WHITE,2,67.3,2,5,5,114,126,10.5,103,637,20295,
29928274,8,8,2017,2.143,38410,2,3,GREY,2,68.9,2,5,5,134,130,9.3,103,758,16295,
29928276,1,164,2019,1.499,31472,1,3,WHITE,6,39.2,2,5,7,138,127,9.8,123,440,20995,
29928337,11,45,2016,1.798,75100,1,2,BLACK,5,47.1,2,2,4,178,149,6.9,138,518,14395,
29928346,11,23,2019,1.498,33000,1,2,WHITE,6,42.2,2,5,5,148,126,9.6,132,538,23495,
29928349,4,32,2023,2.997,100,2,3,GREY,8,32.5,3,3,2,246,109,9.2,234,636,70800,
29928353,26,61,2018,1.499,52000,1,2,BLACK,2,47.9,2,5,5,134,124,9.7,134,537,14995,
29928359,26,61,2017,1.995,57500,2,2,BROWN,2,65.7,2,5,5,150,129,8.9,118,737,13995,inactive on: 10/09/2023
29928381,11,84,2018,1.395,37481,1,2,WHITE,2,54.3,2,5,5,123,127,8.9,123,537,14999,
29928397,10,14,2019,1.598,81298,2,2,GREY,2,85.6,2,5,5,108,124,10.7,107,904,10200,
29928406,4,49,2012,2.179,68609,2,3,BLACK,6,43.5,3,5,5,190,121,8.0,174,555,14995,
29928423,11,84,2020,0.999,17192,1,2,GREY,2,49.6,2,5,5,94,118,10.8,107,436,17995,
29928435,1,93,2013,1.995,83468,2,2,WHITE,6,51.4,3,5,5,181,127,8.1,145,690,8555,
29928436,1,129,2016,2.993,121095,2,3,BLACK,5,47.9,3,5,5,254,145,5.8,159,706,15997,
29928456,1,164,2015,1.995,84998,2,3,BLACK,9,55.4,3,5,7,190,135,7.8,134,743,14998,
29928473,8,38,2013,6.208,66500,1,3,BLACK,5,23.5,1,2,4,457,155,4.5,280,341,21997,
29928479,1,124,2017,1.995,80500,2,3,SILVER,5,65.7,1,2,4,190,144,7.1,114,824,14997,
29928484,28,137,2015,2.179,72000,2,3,BLACK,6,52.0,1,5,5,197,134,8.2,139,801,12997,
29928487,8,8,2014,1.991,45300,1,3,WHITE,2,40.9,3,5,5,360,155,4.6,165,504,19897,
